"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1570454_at",-1.97501773906844,2.60541992609917,-15.433776391656,2.79585741952588e-30,1.3771486884016e-27,58.3215449449423
"1552616_a_at",-3.2490044024638,2.88270734256198,-15.377512196914,3.74531415266566e-30,1.8283486722946e-27,58.0326776718927
"208186_s_at",-4.58707156695305,6.53750669742149,-15.3633143087304,4.03230800884297e-30,1.95103044587159e-27,57.9597257747368
"240929_at",-3.10269517484728,3.16564651122314,-15.3555584036179,4.19830828279565e-30,2.01353074878818e-27,57.9198643317418
"214584_x_at",-2.31175030038065,2.76690991342975,-15.3247364194891,4.92867843206285e-30,2.34326515889597e-27,57.7613859602387
"222717_at",-5.03369738631561,4.04682802447107,-15.2738195168153,6.42542588708429e-30,3.02853586531322e-27,57.4993443597654
"1555740_a_at",-2.62694769419004,2.70662408157025,-15.2644833748211,6.74580079974256e-30,3.15236460449508e-27,57.4512638916413
"224339_s_at",-2.70347412227885,2.77271211252066,-15.1919185924428,9.84968440847267e-30,4.52547474817852e-27,57.0772192612624
"203435_s_at",-4.29545056110237,5.01202280576033,-15.1861582688979,1.01503899157558e-29,4.62477140536626e-27,57.0475010948121
"1556579_s_at",-2.78903116907975,3.01186422590083,-15.1816789429773,1.03905809818205e-29,4.69508277009119e-27,57.0243891225369
"220065_at",-4.12490060581787,3.08966660478512,-15.1667914267733,1.12306531673121e-29,5.03308165510484e-27,56.9475575756655
"207317_s_at",-3.33519568143043,3.24213602089256,-15.1537969197466,1.20194765803896e-29,5.34280391896588e-27,56.8804748296749
"218711_s_at",-2.80570221789988,2.73573329219835,-15.1515588030029,1.21608512353312e-29,5.3620527523527e-27,56.868918851552
"217504_at",-3.09828108548246,3.06738864380165,-15.110075688803,1.51055053652292e-29,6.60714804675127e-27,56.654627691392
"210831_s_at",-2.70019457914988,2.95157545068595,-15.0741004042682,1.82334989593142e-29,7.91203615555957e-27,56.4686306380068
"226286_at",-2.50159520789253,3.96951601605785,-15.0717782370072,1.84564443947361e-29,7.94571730143463e-27,56.4566196944784
"235129_at",-4.75506618004185,3.56310721339669,-15.0659213138985,1.90309865911141e-29,8.12905618647785e-27,56.4263232329375
"213644_at",-2.61922527547851,3.71486647736364,-15.055933159349,2.00525207405878e-29,8.49900443016772e-27,56.3746479731545
"229778_at",-5.03292261418665,3.25144145061157,-15.0344810143258,2.24365283367099e-29,9.43628605238163e-27,56.2636239949116
"215918_s_at",-4.63372265445305,3.51071765194215,-15.0315806461304,2.2779982579938e-29,9.50759959968025e-27,56.2486093813546
"211792_s_at",-3.15900605482862,4.96504516771901,-15.0033280323428,2.64145424546618e-29,1.0941023550823e-26,56.102301941357
"207302_at",-4.62648027054129,3.19150396342975,-14.9937197338449,2.77789429408743e-29,1.1419651919491e-26,56.0525245312948
"1552615_at",-2.55899099077149,5.09115860120661,-14.9812256590003,2.96595225643228e-29,1.21017492254056e-26,55.9877814112714
"239349_at",-3.42657110971549,2.97625349052066,-14.9737894741591,3.08389456009019e-29,1.24897729683653e-26,55.9492395132929
